id,number,root_word,transliteration,pronunciation,tvm,entry
47,H47,&#1488;&#1489;&#1468;&#1497;&#1512;,'abb&#305;&#770;yr,ab-beer',,"For H46: - angel, bull, chiefest, mighty (one), stout [-hearted], strong (one), valiant."
48,H48,&#1488;&#1489;&#1497;&#1512;&#1501;,'a&#774;b&#305;&#770;yra&#770;m,ab-ee-rawm',,"From H1 and H7311; <i>father of height</i>  (that is, <i>lofty</i>); <i>Abiram</i>, the name of two Israelites: - Abiram."
49,H49,&#1488;&#1489;&#1497;&#1513;&#1473;&#1490;,'a&#774;b&#305;&#770;yshag,ab-ee-shag',,"From H1 and H7686; <i>father of error</i>  (that is, <i>blundering</i>); <i>Abishag</i>, a concubine of David: - Abishag."
50,H50,&#1488;&#1489;&#1497;&#1513;&#1473;&#1493;&#1468;&#1506;,'a&#774;b&#305;&#770;yshu&#770;a&#8219;,ab-ee-shoo'-ah,,"From H1 and H7171; <i>father of plenty</i>  (that is, <i>prosperous</i>); <i>Abishua</i>, the name of two Israelites: - Abishua."
51,H51,&#1488;&#1489;&#1497;&#1513;&#1473;&#1493;&#1468;&#1512;,'a&#774;b&#305;&#770;yshu&#770;r,ab-ee-shoor',,"From H1 and H7791; <i>father of</i>  (the) <i>wall</i>  (that is, perhaps <i>mason</i>), <i>Abishur</i>, an Israelites: - Abishur."
52,H52,&#1488;&#1489;&#1497;&#1513;&#1473;&#1497; &#1488;&#1489;&#1513;&#1473;&#1497;,'a&#774;b&#305;&#770;yshay  'abshay,"ab-ee-shah'ee, ab-shah'ee",,"From H1 and H7862; <i>father of a gift</i>  (that is, probably <i>generous</i>); <i>Abishai</i>, an Israelite: - Abishai."
53,H53,&#1488;&#1489;&#1497;&#1513;&#1473;&#1500;&#1493;&#1501; &#1488;&#1489;&#1513;&#1473;&#1500;&#1493;&#1501;,'a&#774;b&#305;&#770;ysha&#770;lo&#770;m  'absha&#770;lo&#770;m,"ab-ee-shaw-lome', ab-shaw-lome'",,"From H1 and H7965; <i>father of peace</i>  (that is, <i>friendly</i>); <i>Abshalom</i>, a son of David; also (the fuller form) a later Israelite: - Abishalom, Absalom."
54,H54,&#1488;&#1489;&#1497;&#1514;&#1512;,'ebya&#770;tha&#770;r,eb-yaw-thawr',,"Contracted from H1 and H3498; <i>father of abundance</i>  (that is, <i>liberal</i>); <i>Ebjathar</i>, an Israelite: - Abiathar."
55,H55,&#1488;&#1489;&#1498;,'a&#770;bak,aw-bak',,A primitive root; probably to <i>coil</i>  upward: - mount up.
56,H56,&#1488;&#1489;&#1500;,'a&#770;bal,aw-bal',,"A primitive root; to <i>bewail: - </i> lament, mourn."
57,H57,&#1488;&#1489;&#1500;,'a&#770;be&#770;l,aw-bale',,"From H56; <i>lamenting: - </i> mourn (er, -ing)."
58,H58,&#1488;&#1489;&#1500;,'a&#770;be&#770;l,aw-bale',,From an unused root (meaning to <i>be grassy</i>); a <i>meadow</i> : - plain. Compare also the proper names beginning with Abel-.
59,H59,&#1488;&#1489;&#1500;,'a&#770;be&#770;l,aw-bale',,"From H58; a <i>meadow</i> ; <i>Abel</i>, the name of two places in Palestine: - Abel."
60,H60,&#1488;&#1489;&#1500;,'e&#770;bel,ay'-bel,,From H56; <i>lamentation: - </i> mourning.
61,H61,&#1488;&#1489;&#1500;,'a&#774;ba&#770;l,ab-awl',,"Apparently from H56 through the idea of <i>negation</i> ; <i>nay</i>, that is, <i>truly</i>  or <i>yet: - </i> but, indeed, nevertheless, verily."
62,H62,&#1489;&#1468;&#1497;&#1514;&#1470;&#1502;&#1506;&#1499;&#1492; &#1488;&#1489;&#1500;,'a&#770;be&#770;l be&#770;yth ma&#774;&#8219;aka&#770;h,aw-bale' bayth ma-a-kaw',,"From H58 and H1004 and H4601; <i>meadow of Beth-Maakah</i> ; <i>Abel of Beth-Maakah</i>, a place in Palestine: - Abel-beth-maachah, Abel of Beth-maachah."
63,H63,&#1492;&#1513;&#1468;&#1473;&#1496;&#1468;&#1497;&#1501; &#1488;&#1489;&#1500;,'a&#770;be&#770;l hashshit&#803;t&#803;&#305;&#770;ym,aw-bale' hash-shit-teem',,"From H58 and the plural of H7848, with the article inserted; <i>meadow of the acacias</i> ; <i>Abel hash-Shittim</i>, a place in Palestine: - Abel-shittim."
64,H64,&#1499;&#1468;&#1512;&#1502;&#1497;&#1501; &#1488;&#1489;&#1500;,'a&#770;be&#770;l kera&#770;m&#305;&#770;ym,aw-bale' ker-aw-meem',,"From H58 and the plural of H3754; <i>meadow of vineyards</i> ; <i>Abel-Keramim</i>, a place in Palestine: - plain of the vineyards."
65,H65,&#1502;&#1495;&#1493;&#1500;&#1492; &#1488;&#1489;&#1500;,'a&#770;be&#770;l mecho&#770;la&#770;h,aw-bale' mekh-o-law',,"From H58 and H4246; <i>meadow of dancing</i> ; <i>Abel-Mecholah</i>, a place in Palestine: - Abel-meholah."
66,H66,&#1502;&#1497;&#1501; &#1488;&#1489;&#1500;,'abe&#770;l mayim,aw-bale' mah'-yim,,"From H58 and H4325; <i>meadow of water</i> ; <i>Abel-Majim</i>, a place in Palestine: - Abel-maim."
67,H67,&#1502;&#1510;&#1512;&#1497;&#1501; &#1488;&#1489;&#1500;,'a&#770;be&#770;l mitsrayim,aw-bale' mits-rah'-yim,,"From H58 and H4714; <i>meadow of Egypt</i> ; <i>Abel-Mitsrajim</i>, a place in Palestine: - Abel-mizraim."
68,H68,&#1488;&#1489;&#1503;,'eben,eh'-ben,,"From the root of H1129 through the meaning, to <i>build</i> ; <i>a stone: - </i> + carbuncle, + mason, + plummet, [chalk-, hail-, bead-, sling-] stone (-ny), (divers) weight (-s)."
69,H69,&#1488;&#1489;&#1503;,'eben,eh'-ben,,(Chaldee); corresponding to H68: - stone.
70,H70,&#1488;&#1489;&#1503;,'o&#770;ben,o'-ben,,"From the same as H68; <i>a pair of stones</i>  (only dual); a potter's <i>wheel</i>  or a midwife's <i>stool</i>  (consisting alike of two horizontal disks with a support between): - wheel, stool."
71,H71,&#1488;&#1489;&#1504;&#1492;,'a&#774;ba&#770;na&#770;h,ab-aw-naw',,"Perhaps feminine of H68; <i>stony</i> ; <i>Abanah</i>, a river near Damascus: - Abana. Compare H549."
72,H72,&#1492;&#1506;&#1494;&#1512; &#1488;&#1489;&#1503;,'eben ha&#770;&#8219;e&#770;zer,eh'-ben haw-e'-zer,,"From H68 and H5828 with the article inserted; <i>stone of the help</i> ; <i>Eben ha-Ezer</i>, a place in Palestine: - Ebenezer."
73,H73,&#1488;&#1489;&#1504;&#1496;,'abne&#770;t&#803;,ab-nate',,Of uncertain derivation; a <i>belt: - </i> girdle.
74,H74,&#1488;&#1489;&#1504;&#1512; &#1488;&#1489;&#1497;&#1504;&#1512;,'abne&#770;r  'a&#774;b&#305;&#770;yne&#770;r,"ab-nare', ab-ee-nare'",,"From H1 and H5216; <i>father of light</i>  (that is, <i>enlightening</i>); <i>Abner</i>, an Israelite: - Abner."
75,H75,&#1488;&#1489;&#1505;,'a&#770;bas,aw-bas',,"A primitive root; to <i>fodder: - </i> fatted, stalled."
76,H76,&#1488;&#1489;&#1506;&#1489;&#1468;&#1506;&#1492;,'a&#774;ba&#8219;bu&#770;&#8219;a&#770;h,ab-ah-boo-aw',,(By reduplication) from an unused root (meaning to <i>belch</i>  forth); an inflammatory <i>pustule</i>  (as <i>eruption</i>): - blains.
77,H77,&#1488;&#1489;&#1509;,'ebets,eh'-bets,,"From an unused root, probably means to <i>gleam</i> ; <i>conspicuous</i> ; <i>Ebets</i>, a place in Palestine: - Abez."
78,H78,&#1488;&#1489;&#1510;&#1503;,'ibtsa&#770;n,ib-tsawn',,"From the same as H76; <i>splendid</i> ; <i>Ibtsan</i>, an Israelite: - Ibzan."
79,H79,&#1488;&#1489;&#1511;,'a&#770;baq,aw-bak',,"A primitive root; probably to <i>float</i>  away (as vapor), but used only as denominative from H80; to <i>bedust</i>, that is, <i>grapple: - </i> wrestle."
80,H80,&#1488;&#1489;&#1511;,'a&#770;ba&#770;q,aw-bawk',,"From root of H79; light <i>particles</i>  (as <i>volatile</i>): - (small) dust, powder."
81,H81,&#1488;&#1489;&#1511;&#1492;,'a&#774;ba&#770;qa&#770;h,ab-aw-kaw',,Feminine of H80: - powder.
82,H82,&#1488;&#1489;&#1512;,'a&#770;bar,aw-bar',,A primitive root; to <i>soar: - </i> fly.
83,H83,&#1488;&#1489;&#1512;,'e&#770;ber,ay-ber',,From H82; a <i>pinion: - </i> [long-] wing (-ed).
84,H84,&#1488;&#1489;&#1512;&#1492;,'ebra&#770;h,eb-raw',,"Feminine of H83: - feather, wing."
85,H85,&#1488;&#1489;&#1512;&#1492;&#1501;,'abra&#770;ha&#770;m,ab-raw-hawm',,"Contracted from H1 and an unused root (probably meaning to <i>be populous</i>); <i>father of a multitude</i> ; <i>Abraham</i>, the later name of Abram: - Abraham."
86,H86,&#1488;&#1489;&#1512;&#1498;,'abre&#770;k,ab-rake',,Probably an Egyptian word meaning <i>kneel: - </i> bow the knee.
87,H87,&#1488;&#1489;&#1512;&#1501;,'abra&#770;m,ab-rawm',,"Contracted from H48; <i>high father</i> ; <i>Abram</i>, the original name of Abraham: - Abram."
88,H88,&#1488;&#1489;&#1514;,'o&#770;bo&#770;th,o-both',,"Plural of H178; water <i>skins</i> ; <i>oboth</i>, a place in the Desert: - Oboth."
89,H89,&#1488;&#1490;&#1488;,'a&#770;ge&#770;',aw-gay',,"Of uncertain derivation (compare H90); <i>Age</i>, an Israelite: - Agee."
90,H90,&#1488;&#1490;&#1490;,'a&#774;gag,ag-ag',,"Of uncertain derivation (compare H89); <i>flame</i> ; <i>Agag</i>, a title of Amalekitish kings: - Agag."
91,H91,&#1488;&#1490;&#1490;&#1497;,'a&#774;ga&#770;g&#305;&#770;y,ag-aw-ghee',,Patrial or patronymic from H90; an <i>Agagite</i>  or descendant (subject) of Agag: - Agagite.
92,H92,&#1488;&#1490;&#1491;&#1468;&#1492;,'a&#774;gu&#770;dda&#770;h,ag-ood-daw',,"Feminine passive participle of an unused root (meaning to <i>bind</i>); a <i>band, bundle, knot</i>, or <i>arch: - </i> bunch, burden, troop."
93,H93,&#1488;&#1490;&#1493;&#1494;,'e&#774;go&#770;z,eg-oze',,Probably of Persian origin; a <i>nut: - </i> nut.
94,H94,&#1488;&#1490;&#1493;&#1468;&#1512;,'a&#770;gu&#770;r,aw-goor',,"Passive participle of H103; <i>gathered</i>  (that is, <i>received</i>  among the sages); <i>Agur</i>, a fanciful name of Solomon: - Agur."
95,H95,&#1488;&#1490;&#1493;&#1512;&#1492;,'a&#774;go&#770;ra&#770;h,ag-o-raw',,"From the same as H94; properly something <i>gathered</i>, that is, perhaps a <i>grain</i>  or <i>berry</i> ; used only of a small (silver) <i>coin: - </i> piece [of] silver."
96,H96,&#1488;&#1490;&#1500;,'egel,eh'-ghel,,From an unused root (meaning to <i>flow</i>  down or together as drops); a <i>reservoir: - </i> drop.
97,H97,&#1488;&#1490;&#1500;&#1497;&#1501;,'eglayim,eg-lah'-yim,,"Dual of H96; a <i>double pond</i> ; <i>Eglajim</i>, a place in Moab: - Eglaim."
98,H98,&#1488;&#1490;&#1501;,'a&#774;gam,ag-am',,"From an unused root (meaning to <i>collect</i>  as water); a <i>marsh</i> ; hence a <i>rush</i>  (as growing in swamps); hence a <i>stockade</i>  of reeds: - pond, pool, standing [water]."
99,H99,&#1488;&#1490;&#1501;,'a&#770;ge&#770;m,aw-game',,Probably from the same as H98 (in the sense of <i>stagnant</i>  water); figuratively <i>sad: - </i> pond.
100,H100,&#1488;&#1490;&#1502;&#1493;&#1503;,'agmo&#770;n,ag-mone',,"From the same as H98; a marshy <i>pool</i>  (others from a different root, a <i>kettle</i>); by implication a <i>rush</i>  (as growing there); collectively a <i>rope</i>  of rushes: - bulrush, caldron, hook, rush."
101,H101,&#1488;&#1490;&#1468;&#1503;,'agga&#770;n,ag-gawn',,"Probably from H5059; a <i>bowl</i>  (as <i>pounded</i>  out hollow): - basin, cup, goblet."
102,H102,&#1488;&#1490;&#1468;&#1507;,'agga&#770;ph,ag-gawf',,"Probably from H5062 (through the idea of <i>impending</i>); a <i>cover</i>  or <i>heap</i> ; that is, (only plural) <i>wings</i>  of an army, or <i>crowds</i>  of troops: - bands."
103,H103,&#1488;&#1490;&#1512;,'a&#770;gar,aw-gar',,A primitive root; to <i>harvest: - </i> gather.
104,H104,&#1488;&#1490;&#1468;&#1512;&#1488;,'iggera&#770;',ig-er-aw',,(Chaldee); of Persian origin; an <i>epistle</i>  (as carried by a state courier or postman): - letter.
105,H105,&#1488;&#1490;&#1512;&#1496;&#1500;,'a&#774;gart&#803;a&#770;l,ag-ar-tawl',,Of uncertain derivation; a <i>basin: - </i> charger.
106,H106,&#1488;&#1490;&#1512;&#1507;,'egro&#770;ph,eg-rofe',,From H1640 (in the sense of <i>grasping</i>); the <i>clenched</i>  hand: - fist.
107,H107,&#1488;&#1490;&#1468;&#1512;&#1514;,'iggereth,ig-eh'-reth,,Feminine of H104; an <i>epistle: - </i> letter.
108,H108,&#1488;&#1491;,'e&#770;d,ade,,"From the same as H181 (in the sense of <i>enveloping</i>); a <i>fog: - </i> mist, vapor."
109,H109,&#1488;&#1491;&#1489;,'a&#770;dab,aw-dab',,A primitive root; to <i>languish: - </i> grieve.
110,H110,&#1488;&#1491;&#1489;&#1468;&#1488;&#1500;,'adbe'e&#770;l,ad-beh-ale',,"Probably from H109 (in the sense of <i>chastisement</i>) and H410; <i>disciplined of God</i> ; <i>Adbeel</i>, a son of Ishmael: - Adbeel."
111,H111,&#1488;&#1491;&#1491;,'a&#774;dad,ad-ad',,"Probably an orthographical variation for H2301; <i>Adad</i>  (or Hadad), an Edomite: - Hadad."
112,H112,&#1488;&#1491;&#1468;&#1493;,'iddo&#770;,id-do,,"Of uncertain derivation; <i>Iddo</i>, an Israelite: - Iddo."
113,H113,&#1488;&#1491;&#1493;&#1503; &#1488;&#1491;&#1503;,'a&#770;do&#770;n  'a&#770;do&#770;n,"aw-done', aw-done'",,"From an unused root (meaning to <i>rule</i>); <i>sovereign</i>, that is, <i>controller</i>  (human or divine): - lord, master, owner. Compare also names beginning with "" Adoni-"" ."
114,H114,&#1488;&#1491;&#1468;&#1493;&#1503;,'addo&#770;n,ad-done',,"Probably intensive for H113; <i>powerful</i> ; <i>Addon</i>, apparently an Israelite: - Addon."
115,H115,&#1488;&#1491;&#1493;&#1512;&#1497;&#1501;,'a&#774;do&#770;rayim,ad-o-rah'-yim,,"Dual from H142 (in the sense of <i>eminence</i>); <i>double mound</i> ; <i>Adorajim</i>, a place in Palestine: - Adoraim."
116,H116,&#1488;&#1491;&#1497;&#1503;,'e&#774;dayin,ed-ah'-yin,,"(Chaldee); of uncertain derivation; <i>then</i>  (of time): - now, that time, then."
117,H117,&#1488;&#1491;&#1468;&#1497;&#1512;,'add&#305;&#770;yr,ad-deer',,"From H142; <i>wide</i>  or (generally) <i>large</i> ; figuratively <i>powerful: - </i> excellent, famous, gallant, glorious, goodly, lordly, mighty (-ier, one), noble, principal, worthy."
118,H118,&#1488;&#1491;&#1500;&#1497;&#1488;,'a&#774;dalya&#770;',ad-al-yaw',,"Of Persian derivation; <i>Adalja</i>, a son of Haman: - Adalia."
119,H119,&#1488;&#1491;&#1501;,'a&#770;dam,aw-dam',,"To <i>show blood</i>  (in the face), that is, <i>flush</i>  or turn rosy: - be (dyed, made) red (ruddy)."
120,H120,&#1488;&#1491;&#1501;,'a&#770;da&#770;m,aw-dawm',,"From H119; <i>ruddy</i>, that is, a <i>human being</i>  (an individual or the species, <i>mankind</i>, etc.): - X another, + hypocrite, + common sort, X low, man (mean, of low degree), person."
121,H121,&#1488;&#1491;&#1501;,'a&#770;da&#770;m,aw-dawm',,"The same as H120; <i>Adam</i>, the name of the first man, also of a place in Palestine: - Adam."
122,H122,&#1488;&#1491;&#1501;,'a&#770;do&#770;m,aw-dome',,"From H119; <i>rosy: - </i> red, ruddy."
123,H123,&#1488;&#1491;&#1501; &#1488;&#1491;&#1493;&#1501;,'e&#774;do&#770;m  'e&#774;do&#770;m,"ed-ome', ed-ome'",,"From H122; <i>red</i>  (see Gen_25:25); <i>Edom</i>, the elder twin-brother of Jacob; hence the region (Idumaea) occuped by him: - Edom, Edomites, Idumea."
124,H124,&#1488;&#1491;&#1501;,'o&#770;dem,o'-dem,,"From H119; <i>redness</i>, that is, the <i>ruby, garnet</i>, or some other red gem: - sardius."
125,H125,&#1488;&#1491;&#1502;&#1491;&#1468;&#1501;,'a&#774;damda&#770;m,ad-am-dawm',,Reduplicated from H119; <i>reddish: - </i> (somewhat) reddish.
126,H126,&#1488;&#1491;&#1502;&#1492;,'adma&#770;h,ad-maw',,"Contracted for H127; <i>earthy</i> ; <i>Admah</i>, a place near the Dead Sea: - Admah."
